year,level_1,level_2,value
1992,First Marriages,Groom Older By 25 Years & Over,8
1992,First Marriages,Groom Younger By 1 Year,1225
1992,First Marriages,Groom Younger By 2 Years,636
1992,First Marriages,Groom Younger By 3 Years,347
1992,First Marriages,Groom Younger By 4 Years,242
1992,First Marriages,Groom Younger By 5-9 Years,307
1992,First Marriages,Groom Younger By 10 Years & Over,42
1992,Remarriages,Same Age,198
1992,Remarriages,Groom Older By 1 Year,216
1992,Remarriages,Groom Older By 2 Years,233
1992,Remarriages,Groom Older By 3 Years,226
1992,Remarriages,Groom Older By 4 Years,230
1992,Remarriages,Groom Older By 5 Years,222
1992,Remarriages,Groom Older By 6 Years,210
1992,Remarriages,Groom Older By 7 Years,175
1992,Remarriages,Groom Older By 8 Years,147
1992,Remarriages,Groom Older By 9 Years,151
1992,Remarriages,Groom Older By 10 Years,127
1992,Remarriages,Groom Older By 11 Years,117
1992,Remarriages,Groom Older By 12 Years,90
1992,Remarriages,Groom Older By 13 Years,68
1992,Remarriages,Groom Older By 14 Years,76
1992,Remarriages,Groom Older By 15-19 Years,205
1992,Remarriages,Groom Older By 20-24 Years,70
1992,Remarriages,Groom Older By 25 Years & Over,52
1992,Remarriages,Groom Younger By 1 Year,175
1992,Remarriages,Groom Younger By 2 Years,136
1992,Remarriages,Groom Younger By 3 Years,101
1992,Remarriages,Groom Younger By 4 Years,98
1992,Remarriages,Groom Younger By 5-9 Years,173
1992,Remarriages,Groom Younger By 10 Years & Over,69
1993,Total,Same Age,2576
1993,Total,Groom Older By 1 Year,2943
1993,Total,Groom Older By 2 Years,2865
1993,Total,Groom Older By 3 Years,2659
1993,Total,Groom Older By 4 Years,2438
1993,Total,Groom Older By 5 Years,1884
1993,Total,Groom Older By 6 Years,1520
1993,Total,Groom Older By 7 Years,1237
1993,Total,Groom Older By 8 Years,970
1993,Total,Groom Older By 9 Years,637
1993,Total,Groom Older By 10 Years,495
1993,Total,Groom Older By 11 Years,362
1993,Total,Groom Older By 12 Years,315
1993,Total,Groom Older By 13 Years,213
1993,Total,Groom Older By 14 Years,168
1993,Total,Groom Older By 15-19 Years,387
1993,Total,Groom Older By 20-24 Years,110
1993,Total,Groom Older By 25 Years & Over,68
1993,Total,Groom Younger By 1 Year,1335
1993,Total,Groom Younger By 2 Years,708
1993,Total,Groom Younger By 3 Years,471
1993,Total,Groom Younger By 4 Years,288
1993,Total,Groom Younger By 5-9 Years,533
1993,Total,Groom Younger By 10 Years & Over,116
1993,First Marriages,Same Age,2394
1993,First Marriages,Groom Older By 1 Year,2711
1993,First Marriages,Groom Older By 2 Years,2657
1993,First Marriages,Groom Older By 3 Years,2441
1993,First Marriages,Groom Older By 4 Years,2222
1993,First Marriages,Groom Older By 5 Years,1677
1993,First Marriages,Groom Older By 6 Years,1326
1993,First Marriages,Groom Older By 7 Years,1013
1993,First Marriages,Groom Older By 8 Years,800
1993,First Marriages,Groom Older By 9 Years,507
1993,First Marriages,Groom Older By 10 Years,372
1993,First Marriages,Groom Older By 11 Years,261
1993,First Marriages,Groom Older By 12 Years,229
1993,First Marriages,Groom Older By 13 Years,136
1993,First Marriages,Groom Older By 14 Years,96
1993,First Marriages,Groom Older By 15-19 Years,170
1993,First Marriages,Groom Older By 20-24 Years,37
1993,First Marriages,Groom Older By 25 Years & Over,14
1993,First Marriages,Groom Younger By 1 Year,1198
1993,First Marriages,Groom Younger By 2 Years,612
1993,First Marriages,Groom Younger By 3 Years,368
1993,First Marriages,Groom Younger By 4 Years,205
1993,First Marriages,Groom Younger By 5-9 Years,332
1993,First Marriages,Groom Younger By 10 Years & Over,43
1993,Remarriages,Same Age,182
1993,Remarriages,Groom Older By 1 Year,232
1993,Remarriages,Groom Older By 2 Years,208
1993,Remarriages,Groom Older By 3 Years,218
1993,Remarriages,Groom Older By 4 Years,216
1993,Remarriages,Groom Older By 5 Years,207
1993,Remarriages,Groom Older By 6 Years,194
1993,Remarriages,Groom Older By 7 Years,224
1993,Remarriages,Groom Older By 8 Years,170
1993,Remarriages,Groom Older By 9 Years,130
1993,Remarriages,Groom Older By 10 Years,123
1993,Remarriages,Groom Older By 11 Years,101
1993,Remarriages,Groom Older By 12 Years,86
1993,Remarriages,Groom Older By 13 Years,77
1993,Remarriages,Groom Older By 14 Years,72
1993,Remarriages,Groom Older By 15-19 Years,217
1993,Remarriages,Groom Older By 20-24 Years,73
1993,Remarriages,Groom Older By 25 Years & Over,54
1993,Remarriages,Groom Younger By 1 Year,137
1993,Remarriages,Groom Younger By 2 Years,96
1993,Remarriages,Groom Younger By 3 Years,103
1993,Remarriages,Groom Younger By 4 Years,83
1993,Remarriages,Groom Younger By 5-9 Years,201
1993,Remarriages,Groom Younger By 10 Years & Over,73
1994,Total,Same Age,2569
1994,Total,Groom Older By 1 Year,2836
1994,Total,Groom Older By 2 Years,2829
1994,Total,Groom Older By 3 Years,2565
1994,Total,Groom Older By 4 Years,2233
1994,Total,Groom Older By 5 Years,1805
1994,Total,Groom Older By 6 Years,1335
1994,Total,Groom Older By 7 Years,1151
1994,Total,Groom Older By 8 Years,873
1994,Total,Groom Older By 9 Years,683
1994,Total,Groom Older By 10 Years,519
1994,Total,Groom Older By 11 Years,446
1994,Total,Groom Older By 12 Years,338
1994,Total,Groom Older By 13 Years,218
1994,Total,Groom Older By 14 Years,188
1994,Total,Groom Older By 15-19 Years,453
1994,Total,Groom Older By 20-24 Years,126
1994,Total,Groom Older By 25 Years & Over,70
1994,Total,Groom Younger By 1 Year,1338
1994,Total,Groom Younger By 2 Years,715
1994,Total,Groom Younger By 3 Years,479
1994,Total,Groom Younger By 4 Years,299
1994,Total,Groom Younger By 5-9 Years,478
1994,Total,Groom Younger By 10 Years & Over,108
1994,First Marriages,Same Age,2343
1994,First Marriages,Groom Older By 1 Year,2622
1994,First Marriages,Groom Older By 2 Years,2596
1994,First Marriages,Groom Older By 3 Years,2347
1994,First Marriages,Groom Older By 4 Years,1997
1994,First Marriages,Groom Older By 5 Years,1590
1994,First Marriages,Groom Older By 6 Years,1162
1994,First Marriages,Groom Older By 7 Years,968
1994,First Marriages,Groom Older By 8 Years,723
1994,First Marriages,Groom Older By 9 Years,539
1994,First Marriages,Groom Older By 10 Years,381
1994,First Marriages,Groom Older By 11 Years,325
1994,First Marriages,Groom Older By 12 Years,241
1994,First Marriages,Groom Older By 13 Years,148
1994,First Marriages,Groom Older By 14 Years,106
1994,First Marriages,Groom Older By 15-19 Years,224
1994,First Marriages,Groom Older By 20-24 Years,40
1994,First Marriages,Groom Older By 25 Years & Over,16
1994,First Marriages,Groom Younger By 1 Year,1189
1994,First Marriages,Groom Younger By 2 Years,567
1994,First Marriages,Groom Younger By 3 Years,377
1994,First Marriages,Groom Younger By 4 Years,214
1994,First Marriages,Groom Younger By 5-9 Years,284
1994,First Marriages,Groom Younger By 10 Years & Over,51
1994,Remarriages,Same Age,226
1994,Remarriages,Groom Older By 1 Year,214
1994,Remarriages,Groom Older By 2 Years,233
1994,Remarriages,Groom Older By 3 Years,218
1994,Remarriages,Groom Older By 4 Years,236
1994,Remarriages,Groom Older By 5 Years,215
1994,Remarriages,Groom Older By 6 Years,173
1994,Remarriages,Groom Older By 7 Years,183
1994,Remarriages,Groom Older By 8 Years,150
1994,Remarriages,Groom Older By 9 Years,144
1994,Remarriages,Groom Older By 10 Years,138
1994,Remarriages,Groom Older By 11 Years,121
1994,Remarriages,Groom Older By 12 Years,97
1994,Remarriages,Groom Older By 13 Years,70
1994,Remarriages,Groom Older By 14 Years,82
1994,Remarriages,Groom Older By 15-19 Years,229
1994,Remarriages,Groom Older By 20-24 Years,86
1994,Remarriages,Groom Older By 25 Years & Over,54
1994,Remarriages,Groom Younger By 1 Year,149
1994,Remarriages,Groom Younger By 2 Years,148
1994,Remarriages,Groom Younger By 3 Years,102
1994,Remarriages,Groom Younger By 4 Years,85
1994,Remarriages,Groom Younger By 5-9 Years,194
1994,Remarriages,Groom Younger By 10 Years & Over,57
1995,Total,Same Age,2658
1995,Total,Groom Older By 1 Year,2830
1995,Total,Groom Older By 2 Years,2889
1995,Total,Groom Older By 3 Years,2582
1995,Total,Groom Older By 4 Years,2201
1995,Total,Groom Older By 5 Years,1780
1995,Total,Groom Older By 6 Years,1367
1995,Total,Groom Older By 7 Years,1043
1995,Total,Groom Older By 8 Years,946
1995,Total,Groom Older By 9 Years,661
1995,Total,Groom Older By 10 Years,553
1995,Total,Groom Older By 11 Years,402
1995,Total,Groom Older By 12 Years,322
1995,Total,Groom Older By 13 Years,260
1995,Total,Groom Older By 14 Years,200
1995,Total,Groom Older By 15-19 Years,471
1995,Total,Groom Older By 20-24 Years,147
1995,Total,Groom Older By 25 Years & Over,76
1995,Total,Groom Younger By 1 Year,1421
1995,Total,Groom Younger By 2 Years,761
1995,Total,Groom Younger By 3 Years,444
1995,Total,Groom Younger By 4 Years,284
1995,Total,Groom Younger By 5-9 Years,556
1995,Total,Groom Younger By 10 Years & Over,111
1995,First Marriages,Same Age,2435
1995,First Marriages,Groom Older By 1 Year,2611
1995,First Marriages,Groom Older By 2 Years,2659
1995,First Marriages,Groom Older By 3 Years,2332
1995,First Marriages,Groom Older By 4 Years,1952
1995,First Marriages,Groom Older By 5 Years,1581
1995,First Marriages,Groom Older By 6 Years,1168
1995,First Marriages,Groom Older By 7 Years,867
1995,First Marriages,Groom Older By 8 Years,757
1995,First Marriages,Groom Older By 9 Years,526
1995,First Marriages,Groom Older By 10 Years,412
1995,First Marriages,Groom Older By 11 Years,296
1995,First Marriages,Groom Older By 12 Years,227
1995,First Marriages,Groom Older By 13 Years,169
1995,First Marriages,Groom Older By 14 Years,118
1995,First Marriages,Groom Older By 15-19 Years,242
1995,First Marriages,Groom Older By 20-24 Years,52
1995,First Marriages,Groom Older By 25 Years & Over,16
1995,First Marriages,Groom Younger By 1 Year,1242
1995,First Marriages,Groom Younger By 2 Years,629
1995,First Marriages,Groom Younger By 3 Years,330
1995,First Marriages,Groom Younger By 4 Years,199
1995,First Marriages,Groom Younger By 5-9 Years,331
1995,First Marriages,Groom Younger By 10 Years & Over,45
1995,Remarriages,Same Age,223
1995,Remarriages,Groom Older By 1 Year,219
1995,Remarriages,Groom Older By 2 Years,230
1995,Remarriages,Groom Older By 3 Years,250
1995,Remarriages,Groom Older By 4 Years,249
1995,Remarriages,Groom Older By 5 Years,199
1995,Remarriages,Groom Older By 6 Years,199
1995,Remarriages,Groom Older By 7 Years,176
1995,Remarriages,Groom Older By 8 Years,189
1995,Remarriages,Groom Older By 9 Years,135
1995,Remarriages,Groom Older By 10 Years,141
1995,Remarriages,Groom Older By 11 Years,106
1995,Remarriages,Groom Older By 12 Years,95
1995,Remarriages,Groom Older By 13 Years,91
1995,Remarriages,Groom Older By 14 Years,82
1995,Remarriages,Groom Older By 15-19 Years,229
1995,Remarriages,Groom Older By 20-24 Years,95
1995,Remarriages,Groom Older By 25 Years & Over,60
1995,Remarriages,Groom Younger By 1 Year,179
1995,Remarriages,Groom Younger By 2 Years,132
1995,Remarriages,Groom Younger By 3 Years,114
1995,Remarriages,Groom Younger By 4 Years,85
1995,Remarriages,Groom Younger By 5-9 Years,225
1995,Remarriages,Groom Younger By 10 Years & Over,66
1996,Total,Same Age,2524
1996,Total,Groom Older By 1 Year,2805
1996,Total,Groom Older By 2 Years,2788
1996,Total,Groom Older By 3 Years,2407
1996,Total,Groom Older By 4 Years,2039
1996,Total,Groom Older By 5 Years,1693
1996,Total,Groom Older By 6 Years,1323
1996,Total,Groom Older By 7 Years,1047
1996,Total,Groom Older By 8 Years,848
1996,Total,Groom Older By 9 Years,665
1996,Total,Groom Older By 10 Years,536
1996,Total,Groom Older By 11 Years,397
1996,Total,Groom Older By 12 Years,315
1996,Total,Groom Older By 13 Years,257
1996,Total,Groom Older By 14 Years,182
1996,Total,Groom Older By 15-19 Years,488
1996,Total,Groom Older By 20-24 Years,155
1996,Total,Groom Older By 25 Years & Over,65
1996,Total,Groom Younger By 1 Year,1397
1996,Total,Groom Younger By 2 Years,756
1996,Total,Groom Younger By 3 Years,446
1996,Total,Groom Younger By 4 Years,284
1996,Total,Groom Younger By 5-9 Years,542
1996,Total,Groom Younger By 10 Years & Over,147
1996,First Marriages,Same Age,2311
1996,First Marriages,Groom Older By 1 Year,2568
1996,First Marriages,Groom Older By 2 Years,2543
1996,First Marriages,Groom Older By 3 Years,2166
1996,First Marriages,Groom Older By 4 Years,1801
1996,First Marriages,Groom Older By 5 Years,1474
1996,First Marriages,Groom Older By 6 Years,1106
1996,First Marriages,Groom Older By 7 Years,823
1996,First Marriages,Groom Older By 8 Years,688
1996,First Marriages,Groom Older By 9 Years,519
1996,First Marriages,Groom Older By 10 Years,395
1996,First Marriages,Groom Older By 11 Years,252
1996,First Marriages,Groom Older By 12 Years,207
1996,First Marriages,Groom Older By 13 Years,140
1996,First Marriages,Groom Older By 14 Years,96
1996,First Marriages,Groom Older By 15-19 Years,247
1996,First Marriages,Groom Older By 20-24 Years,49
1996,First Marriages,Groom Older By 25 Years & Over,4
1996,First Marriages,Groom Younger By 1 Year,1218
1996,First Marriages,Groom Younger By 2 Years,622
1996,First Marriages,Groom Younger By 3 Years,344
1996,First Marriages,Groom Younger By 4 Years,195
1996,First Marriages,Groom Younger By 5-9 Years,313
1996,First Marriages,Groom Younger By 10 Years & Over,54
1996,Remarriages,Same Age,213
1996,Remarriages,Groom Older By 1 Year,237
1996,Remarriages,Groom Older By 2 Years,245
1996,Remarriages,Groom Older By 3 Years,241
1996,Remarriages,Groom Older By 4 Years,238
1996,Remarriages,Groom Older By 5 Years,219
1996,Remarriages,Groom Older By 6 Years,217
1996,Remarriages,Groom Older By 7 Years,224
1996,Remarriages,Groom Older By 8 Years,160
1996,Remarriages,Groom Older By 9 Years,146
1996,Remarriages,Groom Older By 10 Years,141
1996,Remarriages,Groom Older By 11 Years,145
1996,Remarriages,Groom Older By 12 Years,108
1996,Remarriages,Groom Older By 13 Years,117
1996,Remarriages,Groom Older By 14 Years,86
1996,Remarriages,Groom Older By 15-19 Years,241
1996,Remarriages,Groom Older By 20-24 Years,106
1996,Remarriages,Groom Older By 25 Years & Over,61
1996,Remarriages,Groom Younger By 1 Year,179
1996,Remarriages,Groom Younger By 2 Years,134
1996,Remarriages,Groom Younger By 3 Years,102
1996,Remarriages,Groom Younger By 4 Years,89
1996,Remarriages,Groom Younger By 5-9 Years,229
1996,Remarriages,Groom Younger By 10 Years & Over,93
1997,Total,Same Age,2993
1997,Total,Groom Older By 1 Year,3192
1997,Total,Groom Older By 2 Years,3043
1997,Total,Groom Older By 3 Years,2569
1997,Total,Groom Older By 4 Years,2101
1997,Total,Groom Older By 5 Years,1718
1997,Total,Groom Older By 6 Years,1300
1997,Total,Groom Older By 7 Years,1048
1997,Total,Groom Older By 8 Years,838
1997,Total,Groom Older By 9 Years,607
1997,Total,Groom Older By 10 Years,534
1997,Total,Groom Older By 11 Years,392
1997,Total,Groom Older By 12 Years,346
1997,Total,Groom Older By 13 Years,223
1997,Total,Groom Older By 14 Years,179
1997,Total,Groom Older By 15-19 Years,500
1997,Total,Groom Older By 20-24 Years,145
1997,Total,Groom Older By 25 Years & Over,60
1997,Total,Groom Younger By 1 Year,1550
1997,Total,Groom Younger By 2 Years,835
1997,Total,Groom Younger By 3 Years,518
1997,Total,Groom Younger By 4 Years,289
1997,Total,Groom Younger By 5-9 Years,554
1997,Total,Groom Younger By 10 Years & Over,133
1997,First Marriages,Same Age,2728
1997,First Marriages,Groom Older By 1 Year,2918
1997,First Marriages,Groom Older By 2 Years,2778
1997,First Marriages,Groom Older By 3 Years,2308
1997,First Marriages,Groom Older By 4 Years,1852
1997,First Marriages,Groom Older By 5 Years,1480
1997,First Marriages,Groom Older By 6 Years,1052
1997,First Marriages,Groom Older By 7 Years,861
1997,First Marriages,Groom Older By 8 Years,631
1997,First Marriages,Groom Older By 9 Years,445
1997,First Marriages,Groom Older By 10 Years,360
1997,First Marriages,Groom Older By 11 Years,255
1997,First Marriages,Groom Older By 12 Years,212
1997,First Marriages,Groom Older By 13 Years,142
1997,First Marriages,Groom Older By 14 Years,102
1997,First Marriages,Groom Older By 15-19 Years,252
1997,First Marriages,Groom Older By 20-24 Years,47
1997,First Marriages,Groom Older By 25 Years & Over,12
1997,First Marriages,Groom Younger By 1 Year,1358
1997,First Marriages,Groom Younger By 2 Years,686
1997,First Marriages,Groom Younger By 3 Years,405
1997,First Marriages,Groom Younger By 4 Years,198
1997,First Marriages,Groom Younger By 5-9 Years,319
1997,First Marriages,Groom Younger By 10 Years & Over,37
1997,Remarriages,Same Age,265
1997,Remarriages,Groom Older By 1 Year,274
1997,Remarriages,Groom Older By 2 Years,265
1997,Remarriages,Groom Older By 3 Years,261
1997,Remarriages,Groom Older By 4 Years,249
1997,Remarriages,Groom Older By 5 Years,238
1997,Remarriages,Groom Older By 6 Years,248
1997,Remarriages,Groom Older By 7 Years,187
1997,Remarriages,Groom Older By 8 Years,207
1997,Remarriages,Groom Older By 9 Years,162
1997,Remarriages,Groom Older By 10 Years,174
1997,Remarriages,Groom Older By 11 Years,137
1997,Remarriages,Groom Older By 12 Years,134
1997,Remarriages,Groom Older By 13 Years,81
1997,Remarriages,Groom Older By 14 Years,77
1997,Remarriages,Groom Older By 15-19 Years,248
1997,Remarriages,Groom Older By 20-24 Years,98
1997,Remarriages,Groom Older By 25 Years & Over,48
1997,Remarriages,Groom Younger By 1 Year,192
1997,Remarriages,Groom Younger By 2 Years,149
1997,Remarriages,Groom Younger By 3 Years,113
1997,Remarriages,Groom Younger By 4 Years,91
1997,Remarriages,Groom Younger By 5-9 Years,235
1997,Remarriages,Groom Younger By 10 Years & Over,96
1998,Total,Same Age,2487
1998,Total,Groom Older By 1 Year,2680
1998,Total,Groom Older By 2 Years,2666
1998,Total,Groom Older By 3 Years,2262
1998,Total,Groom Older By 4 Years,1941
1998,Total,Groom Older By 5 Years,1512
1998,Total,Groom Older By 6 Years,1168
1998,Total,Groom Older By 7 Years,916
1998,Total,Groom Older By 8 Years,805
1998,Total,Groom Older By 9 Years,607
1998,Total,Groom Older By 10 Years,502
1998,Total,Groom Older By 11 Years,380
1998,Total,Groom Older By 12 Years,348
1998,Total,Groom Older By 13 Years,283
1998,Total,Groom Older By 14 Years,187
1998,Total,Groom Older By 15-19 Years,553
1998,Total,Groom Older By 20-24 Years,196
1998,Total,Groom Older By 25 Years & Over,101
1998,Total,Groom Younger By 1 Year,1348
1998,Total,Groom Younger By 2 Years,724
1998,Total,Groom Younger By 3 Years,463
1998,Total,Groom Younger By 4 Years,301
1998,Total,Groom Younger By 5-9 Years,544
1998,Total,Groom Younger By 10 Years & Over,132
1998,First Marriages,Same Age,2235
1998,First Marriages,Groom Older By 1 Year,2423
1998,First Marriages,Groom Older By 2 Years,2384
1998,First Marriages,Groom Older By 3 Years,2002
1998,First Marriages,Groom Older By 4 Years,1681
1998,First Marriages,Groom Older By 5 Years,1266
1998,First Marriages,Groom Older By 6 Years,961
1998,First Marriages,Groom Older By 7 Years,747
1998,First Marriages,Groom Older By 8 Years,596
1998,First Marriages,Groom Older By 9 Years,451
1998,First Marriages,Groom Older By 10 Years,342
1998,First Marriages,Groom Older By 11 Years,255
1998,First Marriages,Groom Older By 12 Years,230
1998,First Marriages,Groom Older By 13 Years,177
1998,First Marriages,Groom Older By 14 Years,108
1998,First Marriages,Groom Older By 15-19 Years,265
1998,First Marriages,Groom Older By 20-24 Years,62
1998,First Marriages,Groom Older By 25 Years & Over,20
1998,First Marriages,Groom Younger By 1 Year,1153
1998,First Marriages,Groom Younger By 2 Years,597
1998,First Marriages,Groom Younger By 3 Years,335
1998,First Marriages,Groom Younger By 4 Years,192
1998,First Marriages,Groom Younger By 5-9 Years,313
1998,First Marriages,Groom Younger By 10 Years & Over,40
1998,Remarriages,Same Age,252
1998,Remarriages,Groom Older By 1 Year,257
1998,Remarriages,Groom Older By 2 Years,282
1998,Remarriages,Groom Older By 3 Years,260
1998,Remarriages,Groom Older By 4 Years,260
1998,Remarriages,Groom Older By 5 Years,246
1998,Remarriages,Groom Older By 6 Years,207
1998,Remarriages,Groom Older By 7 Years,169
1998,Remarriages,Groom Older By 8 Years,209
1998,Remarriages,Groom Older By 9 Years,156
1998,Remarriages,Groom Older By 10 Years,160
1998,Remarriages,Groom Older By 11 Years,125
1998,Remarriages,Groom Older By 12 Years,118
1998,Remarriages,Groom Older By 13 Years,106
1998,Remarriages,Groom Older By 14 Years,79
1998,Remarriages,Groom Older By 15-19 Years,288
1998,Remarriages,Groom Older By 20-24 Years,134
1998,Remarriages,Groom Older By 25 Years & Over,81
1998,Remarriages,Groom Younger By 1 Year,195
1998,Remarriages,Groom Younger By 2 Years,127
1998,Remarriages,Groom Younger By 3 Years,128
1998,Remarriages,Groom Younger By 4 Years,109
1998,Remarriages,Groom Younger By 5-9 Years,231
1998,Remarriages,Groom Younger By 10 Years & Over,92
1999,Total,Same Age,2874
1999,Total,Groom Older By 1 Year,3122
1999,Total,Groom Older By 2 Years,3132
1999,Total,Groom Older By 3 Years,2588
1999,Total,Groom Older By 4 Years,2103
1999,Total,Groom Older By 5 Years,1696
1999,Total,Groom Older By 6 Years,1246
1999,Total,Groom Older By 7 Years,1008
1999,Total,Groom Older By 8 Years,792
1999,Total,Groom Older By 9 Years,633
1999,Total,Groom Older By 10 Years,497
1999,Total,Groom Older By 11 Years,391
1999,Total,Groom Older By 12 Years,335
1999,Total,Groom Older By 13 Years,259
1999,Total,Groom Older By 14 Years,205
1999,Total,Groom Older By 15-19 Years,635
1999,Total,Groom Older By 20-24 Years,197
1999,Total,Groom Older By 25 Years & Over,96
1999,Total,Groom Younger By 1 Year,1576
1999,Total,Groom Younger By 2 Years,779
1999,Total,Groom Younger By 3 Years,484
1999,Total,Groom Younger By 4 Years,313
1999,Total,Groom Younger By 5-9 Years,553
1999,Total,Groom Younger By 10 Years & Over,134
1999,First Marriages,Same Age,2615
1999,First Marriages,Groom Older By 1 Year,2845
1999,First Marriages,Groom Older By 2 Years,2858
1999,First Marriages,Groom Older By 3 Years,2301
1999,First Marriages,Groom Older By 4 Years,1838
1999,First Marriages,Groom Older By 5 Years,1406
1999,First Marriages,Groom Older By 6 Years,1004
1999,First Marriages,Groom Older By 7 Years,757
1999,First Marriages,Groom Older By 8 Years,595
1999,First Marriages,Groom Older By 9 Years,447
1999,First Marriages,Groom Older By 10 Years,342
1999,First Marriages,Groom Older By 11 Years,258
1999,First Marriages,Groom Older By 12 Years,201
1999,First Marriages,Groom Older By 13 Years,149
1999,First Marriages,Groom Older By 14 Years,108
1999,First Marriages,Groom Older By 15-19 Years,323
1999,First Marriages,Groom Older By 20-24 Years,70
1999,First Marriages,Groom Older By 25 Years & Over,23
1999,First Marriages,Groom Younger By 1 Year,1345
1999,First Marriages,Groom Younger By 2 Years,624
1999,First Marriages,Groom Younger By 3 Years,361
1999,First Marriages,Groom Younger By 4 Years,213
1999,First Marriages,Groom Younger By 5-9 Years,276
1999,First Marriages,Groom Younger By 10 Years & Over,40
1999,Remarriages,Same Age,259
1999,Remarriages,Groom Older By 1 Year,277
1999,Remarriages,Groom Older By 2 Years,274
1999,Remarriages,Groom Older By 3 Years,287
1999,Remarriages,Groom Older By 4 Years,265
1999,Remarriages,Groom Older By 5 Years,290
1999,Remarriages,Groom Older By 6 Years,242
1999,Remarriages,Groom Older By 7 Years,251
1999,Remarriages,Groom Older By 8 Years,197
1999,Remarriages,Groom Older By 9 Years,186
1999,Remarriages,Groom Older By 10 Years,155
1999,Remarriages,Groom Older By 11 Years,133
1999,Remarriages,Groom Older By 12 Years,134
1999,Remarriages,Groom Older By 13 Years,110
1999,Remarriages,Groom Older By 14 Years,97
1999,Remarriages,Groom Older By 15-19 Years,312
1999,Remarriages,Groom Older By 20-24 Years,127
1999,Remarriages,Groom Older By 25 Years & Over,73
1999,Remarriages,Groom Younger By 1 Year,231
1999,Remarriages,Groom Younger By 2 Years,155
1999,Remarriages,Groom Younger By 3 Years,123
1999,Remarriages,Groom Younger By 4 Years,100
1999,Remarriages,Groom Younger By 5-9 Years,277
1999,Remarriages,Groom Younger By 10 Years & Over,94
2000,Total,Same Age,2568
2000,Total,Groom Older By 1 Year,2624
2000,Total,Groom Older By 2 Years,2638
2000,Total,Groom Older By 3 Years,2179
2000,Total,Groom Older By 4 Years,1837
2000,Total,Groom Older By 5 Years,1365
2000,Total,Groom Older By 6 Years,1155
2000,Total,Groom Older By 7 Years,884
2000,Total,Groom Older By 8 Years,753
2000,Total,Groom Older By 9 Years,557
2000,Total,Groom Older By 10 Years,476
2000,Total,Groom Older By 11 Years,411
2000,Total,Groom Older By 12 Years,294
2000,Total,Groom Older By 13 Years,270
2000,Total,Groom Older By 14 Years,198
2000,Total,Groom Older By 15-19 Years,614
2000,Total,Groom Older By 20-24 Years,201
2000,Total,Groom Older By 25 Years & Over,113
2000,Total,Groom Younger By 1 Year,1334
2000,Total,Groom Younger By 2 Years,704
2000,Total,Groom Younger By 3 Years,441
2000,Total,Groom Younger By 4 Years,267
2000,Total,Groom Younger By 5-9 Years,526
2000,Total,Groom Younger By 10 Years & Over,152
2000,First Marriages,Same Age,2321
2000,First Marriages,Groom Older By 1 Year,2391
2000,First Marriages,Groom Older By 2 Years,2388
2000,First Marriages,Groom Older By 3 Years,1924
2000,First Marriages,Groom Older By 4 Years,1586
2000,First Marriages,Groom Older By 5 Years,1137
2000,First Marriages,Groom Older By 6 Years,922
2000,First Marriages,Groom Older By 7 Years,676
2000,First Marriages,Groom Older By 8 Years,543
2000,First Marriages,Groom Older By 9 Years,381
2000,First Marriages,Groom Older By 10 Years,335
2000,First Marriages,Groom Older By 11 Years,264
2000,First Marriages,Groom Older By 12 Years,170
2000,First Marriages,Groom Older By 13 Years,161
2000,First Marriages,Groom Older By 14 Years,117
2000,First Marriages,Groom Older By 15-19 Years,290
2000,First Marriages,Groom Older By 20-24 Years,72
2000,First Marriages,Groom Older By 25 Years & Over,19
2000,First Marriages,Groom Younger By 1 Year,1135
2000,First Marriages,Groom Younger By 2 Years,569
2000,First Marriages,Groom Younger By 3 Years,327
2000,First Marriages,Groom Younger By 4 Years,185
2000,First Marriages,Groom Younger By 5-9 Years,260
2000,First Marriages,Groom Younger By 10 Years & Over,60
2000,Remarriages,Same Age,247
2000,Remarriages,Groom Older By 1 Year,233
2000,Remarriages,Groom Older By 2 Years,250
2000,Remarriages,Groom Older By 3 Years,255
2000,Remarriages,Groom Older By 4 Years,251
2000,Remarriages,Groom Older By 5 Years,228
2000,Remarriages,Groom Older By 6 Years,233
2000,Remarriages,Groom Older By 7 Years,208
2000,Remarriages,Groom Older By 8 Years,210
2000,Remarriages,Groom Older By 9 Years,176
2000,Remarriages,Groom Older By 10 Years,141
2000,Remarriages,Groom Older By 11 Years,147
2000,Remarriages,Groom Older By 12 Years,124
2000,Remarriages,Groom Older By 13 Years,109
2000,Remarriages,Groom Older By 14 Years,81
2000,Remarriages,Groom Older By 15-19 Years,324
2000,Remarriages,Groom Older By 20-24 Years,129
2000,Remarriages,Groom Older By 25 Years & Over,94
2000,Remarriages,Groom Younger By 1 Year,199
2000,Remarriages,Groom Younger By 2 Years,135
2000,Remarriages,Groom Younger By 3 Years,114
2000,Remarriages,Groom Younger By 4 Years,82
2000,Remarriages,Groom Younger By 5-9 Years,266
2000,Remarriages,Groom Younger By 10 Years & Over,92
2001,Total,Same Age,2462
2001,Total,Groom Older By 1 Year,2500
2001,Total,Groom Older By 2 Years,2487
2001,Total,Groom Older By 3 Years,2085
2001,Total,Groom Older By 4 Years,1841
2001,Total,Groom Older By 5 Years,1544
2001,Total,Groom Older By 6 Years,1082
2001,Total,Groom Older By 7 Years,892
2001,Total,Groom Older By 8 Years,705
